days_worked;order_day_number;store_firstly_created;max_order_day_number;order_count_per_store;orders_sum_per_store;medal;store_id;potential
39;0;10.08.2021 11:11;47;10;6342;BRONSE;6150407691;5.416806123
39;1;10.08.2021 11:11;47;3;4145;BRONSE;6150407691;5.416806123
39;6;10.08.2021 11:11;47;1;1299;BRONSE;6150407691;5.416806123
39;7;10.08.2021 11:11;47;3;1978;BRONSE;6150407691;5.416806123
39;8;10.08.2021 11:11;47;1;1189;BRONSE;6150407691;5.416806123
39;9;10.08.2021 11:11;47;3;3061;BRONSE;6150407691;5.416806123
39;10;10.08.2021 11:11;47;1;559;BRONSE;6150407691;5.416806123
39;11;10.08.2021 11:11;47;6;4859;BRONSE;6150407691;5.416806123
39;13;10.08.2021 11:11;47;2;2937;BRONSE;6150407691;5.416806123
39;14;10.08.2021 11:11;47;1;909;BRONSE;6150407691;5.416806123
39;15;10.08.2021 11:11;47;1;524;BRONSE;6150407691;5.416806123
39;17;10.08.2021 11:11;47;2;2084;BRONSE;6150407691;5.416806123
39;18;10.08.2021 11:11;47;6;4006;BRONSE;6150407691;5.416806123
39;19;10.08.2021 11:11;47;4;3497;BRONSE;6150407691;5.416806123
39;20;10.08.2021 11:11;47;2;3366;BRONSE;6150407691;5.416806123
39;22;10.08.2021 11:11;47;1;559;BRONSE;6150407691;5.416806123
39;23;10.08.2021 11:11;47;10;11893;BRONSE;6150407691;5.416806123
39;24;10.08.2021 11:11;47;5;3502;BRONSE;6150407691;5.416806123
39;25;10.08.2021 11:11;47;3;2412;BRONSE;6150407691;5.416806123
39;26;10.08.2021 11:11;47;4;2818;BRONSE;6150407691;5.416806123
39;27;10.08.2021 11:11;47;3;2887;BRONSE;6150407691;5.416806123
39;28;10.08.2021 11:11;47;3;3112;BRONSE;6150407691;5.416806123
39;29;10.08.2021 11:11;47;3;2622;BRONSE;6150407691;5.416806123
39;30;10.08.2021 11:11;47;4;2977;BRONSE;6150407691;5.416806123
39;31;10.08.2021 11:11;47;2;2517;BRONSE;6150407691;5.416806123
39;32;10.08.2021 11:11;47;5;5874;BRONSE;6150407691;5.416806123
39;33;10.08.2021 11:11;47;1;559;BRONSE;6150407691;5.416806123
